;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Domingos;;;;;;;;
MAQ;Estado;Medida;Orden de Fabricación;Código PT;Descricpción;REFERENCIA;CANT. PEDIDO;SALDO POR ATENDER;STOCK;UM;FECHA DE EMISION;FECHA DE ENTREGA;RAZON SOCIAL;MARCA;VENDEDOR;DETALLE PRODUCTO;OBSERVACIÓN;Cantidad;U.M.;MT;TP;Inicio Prod ;COLORES;MATERIAL;GRAMAGE;ANCHO;ALTO;CILINDRO;PESO POR MILLAR;PESO REQUERIDO;CANTIDAD DE EMPAQUETADO;TIPO DE ETIQUETA;Horas preparación de máquina;Horas corrección;Horas de Producción;Horas de tabajo (maquina);Dias de la semana;Horas Estimadas;Horas sub total;Dia festivo;Horas totales de producción;Fin de ocupación-Calculado;Fin de Producción-Proyectado;Auxiliar;Fin de Producción;Tipo de Producción;Stock PT;Stock PT (UM);Orden;Columna1
Flexo 1;;35X36;2604-8014;203030721;PAPEL ENVOLTURA MEDIANA BEMBOS 2025 (PQTE X 500);;;;;;;;;;;;NUEVO DISEÑO;200;MIL;66000;66000.0000;20/2/2026 0:00:00;AZUL(P286U),ROJO(P2347U),AMARILLO CALENTADO(P116U),AMARILLO;ANTIGRASA;38;35;33;33;4.389;877.800;0;0;0;1;2;1;8;#N/D;26.50;#N/D;No;#N/D;#N/D;;#N/D;Stock;0.00;0.00;-32.61111111;
Flexo 1;;27.3 X 25.20;2604-8021;203030559;HOJA PAPEL ANTIGRASA SNACK BB (PQT X 1000 UND);;;;;;;;;;;;;20;MIL;6600;6600.0000;18/2/2026 0:00:00;AMARILLO JR. BB;ANTIGRASA;38;31;33;33;3.887;77.748;0;0;0;1;2;1;8;0.00;26.50;0.00;0.00;0/1/1900 0:00:00;0/1/1900 0:00:00;;0/1/1900 0:00:00;Stock;0.00;0.00;-34.61111111;
Flexo 1;;0;2601-0199      ;204010062;BOBINA PAPEL KRAFT 60 CM IMP. SAN MARTIN X 12 KG (01 COLOR);bob.45 10kg, c/una. bob. de 60 de 12 kg. c/u na;24;10.34;0;KG ;7/01/2026;8/01/2026;INVERSIONES JOSEFINA S.R.L.;KRAFT 50 GR;MARIA PALACIOS;;;10;MIL;3300;3300.0000;19/2/2026 0:00:00;AZUL KFC;KRAFT;50;59;33;33;9.735;97.350;0;0;0;1;2;1;8;#N/D;26.50;#N/D;No;#N/D;#N/D;;#N/D;Stock;0.00;0.00;-33.61111111;
Flexo 1;;18X32X10.5;2603-0671      ;205011859;42840954 - BOLSA PAPEL KRAFT #12 IMP. LA PASTELERIA - TOTTUS;para stock;10;10;5.28;MIL;24/03/2026;3/04/2026;HIPERMERCADOS TOTTUS S.A.;KRAFT 60 GR;GISELLA SEGURA;;;15;MIL;5850;5850.0000;20/2/2026 0:00:00;ROSADO MATIZ, MARRON, VERDE CH Y VERDE VYG;KRAFT;60;59;39;39;13.806;207.090;1,000 UND.;CHICA;CHICA;1;2;1;8;#N/D;26.50;#N/D;No;#N/D;#N/D;;#N/D;Stock;0.00;0.00;-32.61111111;
Flexo 1;;29X35;2604-8005;203030651;PAPEL SANDWICHS PH X 3000 -UND;;;;;;;;;;;;;120;MIL;42000;42000.0000;23/2/2026 0:00:00;NEGRO GCMI74;ANTIGRASA;33;30;35;36;3.564;427.680;01 PQT.;MEDIANA;MEDIANA;1;2;1;8;0.00;26.50;0.00;0.00;0/1/1900 0:00:00;0/1/1900 0:00:00;;0/1/1900 0:00:00;Stock;0.00;0.00;-29.61111111;
Flexo 1;;35X40;2604-8019;203030727;HOJA PAPEL ANTIGRASA 35 X 40  IMP. EL CHINITO;;;;;;;;;;;;NUEVO DISEÑO;100;MIL;36000;36000.0000;24/2/2026 0:00:00;GRIS Y NEGRA LA TACA;ANTIGRASA;38;44;36;36;5.951;595.080;1,000 UND.;CHICA ;CHICA ;1;2;1;8;0.00;26.50;0.00;0.00;0/1/1900 0:00:00;0/1/1900 0:00:00;;0/1/1900 0:00:00;Stock;0.00;0.00;-28.61111111;
Flexo 1;;11X13;2604-8017;205030892;SOBRE DE PAPA MED BEMBOS PQTE X 4000 UND  2025;;;;;;;;;;;;NUEVO DISEÑO;200;MIL;26000;26000.0000;25/2/2026 0:00:00;AMARILLO,AZUL(P286U),ROJO(P2347U);ANTIGRASA;38;24;13;39;3.557;711.360;0;0;0;1;2;1;8;0.00;26.50;0.00;0.00;0/1/1900 0:00:00;0/1/1900 0:00:00;;0/1/1900 0:00:00;Stock;0.00;0.00;-27.61111111;
Flexo 1;;25X24;2603-0038C;203030511;HOJA PAPEL ANTIGRASA 25 X 24 IMP. OSSO  (ROJO);;10;10;0.4;MIL;2/03/2026;22/03/2026;CALUGA INVERSIONES S.A.C.;ANTIGRASA 40 GR;MARIA PALACIOS;;;10;MIL;2400;2400.0000;26/2/2026 0:00:00;ROJO;ANTIGRASA;40;26;24;33;3.432;34.320;1,000 UND.;CHICA;CHICA;1;2;1;8;0.00;26.50;0.00;0.00;0/1/1900 0:00:00;0/1/1900 0:00:00;;0/1/1900 0:00:00;Stock;0.00;0.00;-26.61111111;
